model,model_group,finding,dimension,auroc_gap,gap_ci_lo,gap_ci_hi,sens_gap,spec_gap,fpr_gap,fnr_gap,ece_gap
CLIP-ViT-B16,clean,Atelectasis,Gender,0.0390691474023076,0.002619716013591128,0.1579404952836998,0.030019802571349063,0.18145161290322576,0.18145161290322576,0.030019802571349063,0.0010638983714853162
CLIP-ViT-B16,clean,Atelectasis,Age,0.13440394444089032,0.04686232221344719,0.2869588727455972,0.10831143808022414,0.21666666666666667,0.21666666666666667,0.10831143808022414,0.004256729306360243
CLIP-ViT-B16,clean,Atelectasis,Race,0.20847813745897315,0.021643393348118458,0.45372003805595507,0.051896352493481124,0.4,0.4,0.051896352493481124,0.0016993825056040267
CLIP-ViT-B16,clean,Cardiomegaly,Gender,0.029831071480277638,0.008078634261798837,0.052705979593428015,0.015438139518413885,0.050311459478404874,0.050311459478404874,0.015438139518413885,0.008769239261063232
CLIP-ViT-B16,clean,Cardiomegaly,Age,0.10697246004670136,0.07582429682451915,0.13590452948070159,0.06332916646977871,0.2759446169772257,0.2759446169772257,0.06332916646977871,0.020547151321774523
CLIP-ViT-B16,clean,Cardiomegaly,Race,0.02049152165512036,0.00989192105324594,0.07407226587841673,0.05681818181818177,0.06047299030421183,0.06047299030421183,0.05681818181818177,0.06114236159890912
CLIP-ViT-B16,clean,Consolidation,Gender,0.003022180604271618,0.0003086118839447649,0.020269055849882513,0.005178600051786053,0.008418098035193333,0.008418098035193333,0.005178600051786053,0.009811293987544812
CLIP-ViT-B16,clean,Consolidation,Age,0.0297977469586872,0.011396772806069155,0.05255435495790243,0.04400871459694988,0.10445935017363583,0.10445935017363583,0.04400871459694988,0.003862046956248439
CLIP-ViT-B16,clean,Consolidation,Race,0.027274135327465476,0.00868316457144487,0.0823693559665967,0.048692754369404234,0.021635206545144836,0.021635206545144836,0.048692754369404234,0.053118056388313045
CLIP-ViT-B16,clean,Edema,Gender,0.0024874309648522663,0.0002521132046528207,0.02124932745878896,0.006284801369940696,0.014927652778803924,0.014927652778803924,0.006284801369940696,0.008301594017682006
CLIP-ViT-B16,clean,Edema,Age,0.02815608147679738,0.013259348171267643,0.05154977226605143,0.054112409997048916,0.07835512857688387,0.07835512857688387,0.054112409997048916,0.009882278069007724
CLIP-ViT-B16,clean,Edema,Race,0.016188231544643106,0.009761723508910825,0.06304728983172538,0.03402225808053583,0.02170374389582197,0.02170374389582197,0.03402225808053583,0.02863547141459309
CLIP-ViT-B16,clean,Enlarged Cardiomediastinum,Gender,0.01637780718632953,0.0006141945694200014,0.04946666000553639,0.05906830493702686,0.018995182081610773,0.018995182081610773,0.05906830493702686,0.002607222903903701
CLIP-ViT-B16,clean,Enlarged Cardiomediastinum,Age,0.05722448019879567,0.021651999765487453,0.09965819355263397,0.1652076198630137,0.2398597085036892,0.2398597085036892,0.1652076198630137,0.03223524709246045
CLIP-ViT-B16,clean,Enlarged Cardiomediastinum,Race,0.032031518729995434,0.013773106263717142,0.12139701246061654,0.06484753304541291,0.08391070053887606,0.08391070053887606,0.06484753304541291,0.03745579832974193
CLIP-ViT-B16,clean,Lung Opacity,Gender,0.030001106046394388,0.0023073698160694296,0.06674545019058023,0.015917277738879076,0.00818268828945412,0.00818268828945412,0.015917277738879076,0.003362064801709209
CLIP-ViT-B16,clean,Lung Opacity,Age,0.03307111785952921,0.007882483050236066,0.07937803592304515,0.1217594762283375,0.15347475669099764,0.15347475669099764,0.1217594762283375,0.0051284667795792795
CLIP-ViT-B16,clean,Lung Opacity,Race,0.06070483694442885,0.028180589625800497,0.1457404506606026,0.06851490198681509,0.09753984753984746,0.09753984753984746,0.06851490198681509,0.007521566812478342
CLIP-ViT-B16,clean,Pleural Effusion,Gender,0.005347033399347723,0.00028642922981229614,0.017350074139620125,0.01355967621329568,0.0018557774355066892,0.0018557774355066892,0.01355967621329568,0.0003574679845986511
CLIP-ViT-B16,clean,Pleural Effusion,Age,0.03200557379200586,0.018038514225654726,0.04837275253183391,0.08719399593621002,0.12085442397246404,0.12085442397246404,0.08719399593621002,0.01737091403302355
