policy,attribute,finding,abs_log_or
U-Zero,cancer_history,Atelectasis,0.1885396434068789
U-Zero,cancer_history,Cardiomegaly,0.037823572421951814
U-Zero,cancer_history,Consolidation,0.2223593742714375
U-Zero,cancer_history,Edema,0.057122462224679614
U-Zero,cancer_history,Enlarged Cardiomediastinum,0.16898791967414156
U-Zero,cancer_history,Lung Opacity,0.2373385418171858
U-Zero,cancer_history,Pleural Effusion,0.4007094218128352
U-Zero,cancer_history,Pneumonia,0.13738271334099014
U-Zero,cancer_history,Pneumothorax,0.5016992729052745
U-Zero,cancer_history,Support Devices,0.022679420756760917
U-Zero,depression,Atelectasis,0.023452181129733286
U-Zero,depression,Cardiomegaly,0.06255599513734518
U-Zero,depression,Consolidation,0.0005358813151019347
U-Zero,depression,Edema,0.12823789286438395
U-Zero,depression,Enlarged Cardiomediastinum,0.05001255496649102
U-Zero,depression,Lung Opacity,0.088205412688572
U-Zero,depression,Pleural Effusion,0.03367194349920664
U-Zero,depression,Pneumonia,0.08728104470579057
U-Zero,depression,Pneumothorax,0.32157128681016556
U-Zero,depression,Support Devices,0.02066556153957417
U-Zero,age,Atelectasis,0.4445785443981163
U-Zero,age,Cardiomegaly,0.6260903270548984
U-Zero,age,Consolidation,0.20720427506069794
U-Zero,age,Edema,0.6708925258959245
U-Zero,age,Enlarged Cardiomediastinum,0.20715599050897832
U-Zero,age,Lung Opacity,0.3795205258066642
U-Zero,age,Pleural Effusion,0.7519366617462048
U-Zero,age,Pneumonia,0.15321633229383017
U-Zero,age,Pneumothorax,0.018597367640232967
U-Zero,age,Support Devices,0.24048293142920144
U-Zero,bmi,Atelectasis,0.029552373009268336
U-Zero,bmi,Cardiomegaly,0.21514525822531283
U-Zero,bmi,Consolidation,0.36345847763757166
U-Zero,bmi,Edema,0.012381448302439061
U-Zero,bmi,Enlarged Cardiomediastinum,0.013381627850015504
U-Zero,bmi,Lung Opacity,0.252792651838313
U-Zero,bmi,Pleural Effusion,0.3320475065318106
U-Zero,bmi,Pneumonia,0.20457106572509764
U-Zero,bmi,Pneumothorax,0.6404754151785307
U-Zero,bmi,Support Devices,0.32228766556943345
U-Zero,race_black_vs_white,Atelectasis,0.41451507014275857
U-Zero,race_black_vs_white,Cardiomegaly,0.09864598926324901
U-Zero,race_black_vs_white,Consolidation,0.2619512947949874
U-Zero,race_black_vs_white,Edema,0.1883199283303479
